,event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session
57433,2020-01-01 18:48:04 UTC,cart,5836843,1487580009261432856,,pnb,0.71,567548532,2a4724d8-814e-482d-bd30-0273fb6c9ea0
57513,2020-01-01 18:49:05 UTC,view,5856186,1487580006300255120,,runail,75.4,263614723,3953cfeb-a8f8-483e-b30a-d65eab1eecf6
57527,2020-01-01 18:49:14 UTC,view,5836841,1487580007852147670,,pnb,12.54,438599788,b288a138-63f9-4106-9dee-0eb75f4bac21
57976,2020-01-01 18:54:15 UTC,cart,5896780,1487580007281722301,,milv,2.38,595681805,7f71d91d-766d-44c1-8886-a24d120f36b4
58156,2020-01-01 18:56:21 UTC,view,5833326,1487580007675986893,,bpw.style,1.59,432989763,e16b0dbf-1886-4b7b-a492-774534a0e782
58601,2020-01-01 19:01:17 UTC,view,5766982,1487580013069861041,,italwax,18.25,559289862,47afcc01-33f7-4fe8-8c20-3de049cbb448
59481,2020-01-01 19:11:43 UTC,view,5872988,1783999072332415142,,,15.71,479412141,b7b4ea3e-477b-4b80-b005-43a635354325
60012,2020-01-01 19:17:00 UTC,view,5915007,1487580008028308447,,babyliss,57.25,595696644,080c4319-5bea-4779-92ff-65563f20a444
60333,2020-01-01 19:20:22 UTC,cart,5696330,1487580013841613016,,estel,2.62,595665800,196c8df9-20b9-4913-9452-d75f24e527d0
60562,2020-01-01 19:22:26 UTC,view,5773207,1487580005134238553,,runail,2.62,590972166,c9298c09-0bd0-dc86-3fd4-cd9fe9b533d4
60606,2020-01-01 19:22:59 UTC,view,5808570,1487580012172279951,,irisk,3.65,495239671,e4833919-0554-43c1-a5a3-03cb41bc3442
60632,2020-01-01 19:23:11 UTC,view,5808547,1487580008313521133,,kapous,3.81,595474202,70c6a51e-4a7e-49e4-941b-75441f7facbf
60919,2020-01-01 19:26:01 UTC,view,6736,2007399943458784057,apparel.glove,,5.24,595040832,6e453028-362a-418c-bac6-80a34d0d6ef2
61154,2020-01-01 19:27:40 UTC,remove_from_cart,5810443,1487580005050352469,,haruyama,3.97,514766907,da221650-9ff1-450a-80b9-e38ebeddef6e
61202,2020-01-01 19:28:04 UTC,remove_from_cart,5855122,1487580005268456287,,,15.71,308521287,284fa162-b2e3-41b0-baa9-f52cd06a0401
61682,2020-01-01 19:33:03 UTC,view,5683737,1487580005595612013,,,3.0,595701413,325dfb6c-2da9-4676-9b19-f36b4a2c2751
61786,2020-01-01 19:33:28 UTC,remove_from_cart,5528,2196456817641391019,,ingarden,5.24,489318557,8e934fb6-7ff8-4e68-a04c-46fa04a624aa
62628,2020-01-01 19:41:55 UTC,view,5923,2196456817641391019,,runail,1.98,462935433,5600737b-99e8-4575-9766-3fea8020f58f
64092,2020-01-01 19:56:12 UTC,remove_from_cart,5837468,1487580005134238553,,runail,3.97,412181714,b99b0ea0-d793-4473-8b7f-dbf97ff5cd74
64148,2020-01-01 19:56:31 UTC,cart,5833334,1487580007675986893,,bpw.style,0.79,429233753,1a0accd2-9667-4b7c-8028-4fdc7349579f
64903,2020-01-01 20:03:50 UTC,view,5808567,1495705810662064688,,irisk,2.38,522618261,95989b83-2341-4155-bb22-0db070b0ba22
65068,2020-01-01 20:05:39 UTC,remove_from_cart,5649174,1487580005511725929,,,4.27,369115391,1f4ec63d-5fd5-4930-ad88-864445bb82dc
65171,2020-01-01 20:06:54 UTC,remove_from_cart,5804295,1487580005411062629,,cnd,14.13,550725475,7ec5e2de-9168-4307-9465-1a7ba64b0210
65217,2020-01-01 20:07:21 UTC,remove_from_cart,5788733,1487580005411062629,,cnd,16.03,550725475,7ec5e2de-9168-4307-9465-1a7ba64b0210
65638,2020-01-01 20:11:23 UTC,cart,5780841,1487580005268456287,,rosi,7.14,569810595,0e2f396d-0905-4962-bcfe-80ba34df2e3d
66058,2020-01-01 20:17:07 UTC,view,5818820,1487580013950664926,,,14.13,406049216,f25c5269-79d4-4af4-9fbd-5b061f6faee2
66293,2020-01-01 20:20:24 UTC,view,5880438,1487580011702517887,,,3.59,283109944,bde5662f-a6ce-44fa-bc09-fee42cc45fd5
66765,2020-01-01 20:25:21 UTC,cart,5877491,1487580007675986893,,freedecor,2.38,585973075,8b382f25-f925-4dc2-b975-97735f24d095
68054,2020-01-01 20:38:23 UTC,cart,5837082,1602943681873052386,,grattol,4.76,514311480,634242c9-52f3-405e-b708-4ff4b532aa74
68518,2020-01-01 20:43:41 UTC,view,5655060,1487580008145748965,,,1.43,568941770,0053f843-4deb-4aaf-a972-164bd90590fd
70114,2020-01-01 21:01:06 UTC,cart,5739022,1487580013841613016,,concept,3.16,406772131,0196dca7-5a22-40cd-8d7b-470b40938011
70234,2020-01-01 21:02:17 UTC,view,5882788,1487580013522845895,,thuya,85.56,587012879,174ddf91-da19-4b43-9a82-bd678fe6550e
70330,2020-01-01 21:03:06 UTC,view,5915803,1648815651034235876,,rosi,4.13,595582596,7ca2422c-8a37-4908-a219-f705b51460fc
71698,2020-01-01 21:17:25 UTC,remove_from_cart,5850569,1998040852064109417,,,6.35,577777199,ed10a8ea-2da4-4fcf-b0f1-c7fe610fceea
72607,2020-01-01 21:25:30 UTC,view,5770055,1487580013841613016,,kapous,2.81,595726441,e366c613-d21c-40f6-9a4c-1cc87c85769a
72626,2020-01-01 21:25:44 UTC,cart,8098,1487580006350586771,appliances.environment.vacuum,,1.11,549114538,1a6a6176-176d-4578-9284-448c99b0b62f
73715,2020-01-01 21:40:00 UTC,remove_from_cart,5692888,1487580007910867929,,yoko,7.29,479886157,928e72d4-3ebe-422f-8be5-8a7c3048bcad
73767,2020-01-01 21:40:26 UTC,remove_from_cart,5561044,1487580005595612013,,,3.0,547470608,7905958b-263d-401f-86d3-508134209e34
75193,2020-01-01 21:58:25 UTC,view,5841194,1487580009051717646,,,47.59,566875606,07b834d5-592d-4f22-a2b7-1e432a77cd39
75266,2020-01-01 21:59:37 UTC,view,5816172,1602943681873052386,,grattol,5.24,554316951,2ca60406-d28f-4d3b-a3fc-d7421e61a5ba
75975,2020-01-01 22:12:33 UTC,view,5904457,1958278551207674674,,opi,10.76,595732550,183c0922-0a21-4aeb-a49d-98519a477a1c
76297,2020-01-01 22:18:13 UTC,cart,5561082,1487580005595612013,,,3.0,595739086,be88368a-524a-4918-9fdc-0e4615b0fab0
76421,2020-01-01 22:19:45 UTC,view,5772440,1602943681873052386,,grattol,4.76,589035455,c469f374-3ce2-f6f7-b112-f87300da8ec8
76548,2020-01-01 22:22:17 UTC,view,5690569,1487580010242900029,,concept,4.84,594849769,69136320-4561-4caf-b1f1-1e86ab164097
76574,2020-01-01 22:22:47 UTC,view,5770053,1487580013841613016,,kapous,2.81,594800428,51abe247-fe4c-444b-b935-bbfe4b026822
78152,2020-01-01 22:55:49 UTC,purchase,5860160,1487580011585077370,,,0.78,533460235,c88427fa-df9b-4476-9329-5d66e6489a87
78215,2020-01-01 22:56:52 UTC,view,5830557,1487580005671109489,,masura,1.73,527656177,fbe3cd72-aa5f-4dab-a6cd-4e5007f5d6bd
80611,2020-01-01 23:49:08 UTC,cart,5696863,1487580009286598681,,irisk,1.11,591039167,18ac3c1b-6f56-41ed-85c6-e081ebb8289a
